meeting_id,venue,wg,topic
RAN1_116,"Athens, Greece",RAN WG1,UE features for Rel-18 NR positioning
RAN1_119,"Orlando, US",RAN WG1,NR Air Interface Specifications
RAN1_118,"Maastricht, NL",RAN WG1,NR-NTN Downlink Coverage Enhancements
RAN1_117,"Fukuoka, Japan",RAN WG1,Physical layer enhancements for NR URLLC and MIMO
RAN1_118b,"Hefei, China",RAN WG1,Agenda 9.6.3: LP-WUS operation enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,On-demand SSB for NES
RAN1_116b,"Changsha, China",RAN WG1,NR physical layer enhancements and corrections
RAN1_116,"Athens, Greece",RAN WG1,NR_MBS-Core Work Item Discussion
RAN1_116,"Athens, Greece",RAN WG1,Ambient IoT Security Requirements
RAN1_116b,"Changsha, China",RAN WG1,NR MIMO Enhancements and Protocol Corrections
RAN1_118,"Maastricht, NL",RAN WG1,Agenda Item 8.1: FR2-NTN specification inclusion
RAN1_119,"Orlando, US",RAN WG1,Uplink 3 Ports Codebook based Transmission
RAN1_117,"Changsha, Hunan Province, China",RAN WG1,NR MIMO Evolution DL/UL Core Specifications
RAN1_119,"Orlando, US",RAN WG1,UL capacity enhancement for NR NTN
RAN1_119,"Orlando, US",RAN WG4,Beam Management Enhancements
RAN1_117,"Fukuoka, Japan",TSG-RAN WG1,Physical layer specifications
RAN1_119,"Orlando, USA",RAN WG1,CLI handling in NR duplex operation
RAN1_116,"Athens, Greece",RAN WG1,A-IoT Evaluation Methodology
RAN1_118b,"Hefei, China",RAN WG1,Physical layer design for Ambient IoT devices
RAN1_116,"Athens, Greece",RAN WG1,AI/ML-based CSI Compression
RAN1_116,"Athens, Greece",RAN WG1,3GPP TSG RAN WG1 Meeting #116
RAN1_118b,"Hefei, China",RAN WG1,9.1.3.2
RAN1_118,"Maastricht, NL",RAN WG1,Channel/Signal Aspects for Ambient IoT
RAN1_118,"Maastricht, NL",RAN WG1,NR-NTN enhancements for RedCap UEs
RAN1_117,"Fukuoka, Japan",RAN WG1,Physical layer specifications for NR and AIoT
RAN1_118,"Maastricht, Netherlands",RAN WG1,NR Rel-17/18 specifications
RAN1_119,"Orlando, USA",RAN WG1,Channel modelling for ISAC
RAN1_118,"Maastricht, NL",RAN WG1,NR MIMO evolution
RAN1_116,"Athens, Greece",RAN WG1,Physical Layer Enhancements for NR
RAN1_119,"Orlando, US",RAN WG1,On-demand SIB1 Mechanisms
RAN1_118,"Maastricht, NL",RAN WG1,Enhancements for NR MIMO
RAN1_118b,"Hefei, China",RAN WG1,AI-enabled Beam Management
RAN1_118,Netherlands,RAN WG1,MBS specification corrections
RAN1_118b,"Hefei, China",RAN WG1,NR duplex operation enhancements
RAN1_116,"Athens, Greece",RAN WG1,NR over NTN in FR2-NTN bands
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Expanded and Improved NR Positioning
RAN1_116,"Athens, Greece",RAN WG1,SBFD operation and procedures
RAN1_116b,"Changsha, China",RAN WG1,ISAC Deployment Scenarios
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR_NTN_enh-Core Work Item Discussion
RAN1_116b,"Changsha, China",RAN WG1,AI/ML for NR Air Interface: CSI Compression
RAN1_116b,"Changsha, Hunan, China",RAN WG1,NR-U Channel Access Procedure Corrections
RAN WG1 #118bis,Hybrid (3F rooms + 2F Breakout #2),RAN1,5G NR Release 19 Feature Finalization
RAN1_118b,"Hefei, China",RAN WG1,Physical layer discussions for NR enhancements
RAN WG1 #119,"Orlando, US",RAN WG1,3GPP TSG RAN WG1 #119 Draft Agenda
RAN1_118b,"Hefei, China",RAN WG1,UE Capability Specifications
RAN1_117,"Fukuoka, Japan",RAN WG1,Rel-18 Positioning Enhancements
RAN1_118b,Virtual Meeting,RAN WG1,NR Physical Layer Enhancements
RAN1_117,"Fukuoka, Japan",TSG-RAN WG1,Type 2 HARQ-ACK codebook correction
RAN1_118b,"Hefei, China",RAN WG1,UL Capacity Enhancement for IoT-NTN
RAN1_118,"Maastricht, NL",RAN WG1,NR NTN and RedCap UE Support
RAN1_116,"Athens, GR",RAN WG1,MIMO Evolution for Rel-19
RAN1_116,"Athens, Greece",RAN WG1,SUL Configuration Clarifications
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Rel-18 Multicarrier Enhancements Maintenance
RAN1_118b,"Hefei, China",RAN WG1,Adaptation of common signaling for NES in Release 19
RAN1_118,"Maastricht, The Netherlands",RAN WG1,CR approval for 38.214 on simultaneous PDSCH reception
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-18 NR Sidelink Enhancements
RAN1_117,"Fukuoka, Japan",RAN WG1,Uplink Capacity/Throughput Enhancement for FR1-NTN
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Further enhancement of MIMO
RAN1_118,"Maastricht, NL",RAN WG1,NR Physical Layer Agenda Items
RAN1_119,"Orlando, US",RAN WG1,On-demand SIB1 for idle/inactive mode UEs
RAN1_116b,"Changesha, China",TSG-RAN WG1,NR Physical Layer Enhancements
RAN1_118,"Maastricht, NETHERLANDS",RAN WG1,Channel model enhancements for 7-24 GHz
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Physical layer specifications
RAN1_116b,"Changsha, Hunan Province, China",TSG-RAN WG1,Rel-18 UE features discussion
RAN1_119,"Orlando, US",RAN WG1,Correction on open loop timing advance calculation for ATG
RAN1_118b,"Hefei, China",RAN WG1,NR and IoT Enhancements
RAN1_116b,"Changsha, China",RAN WG1,NR_eMIMO-Core
RAN1_117,"Fukuoka, Japan",RAN WG1,NR Physical Layer Development
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Study on solutions for Ambient IoT in NR
RAN1_118,"Maastricht, NL",RAN WG1,Physical layer specifications discussion
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR-NTN Enhancement
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Waveform characteristics for Ambient IoT
RAN1_119,"Orlando, US",RAN1,NR NTN Phase 3 Enhancements
RAN1_119,"Orlando, US",RAN WG1,9.11.1: Downlink Coverage Enhancements for NR NTN
RAN WG1 #119,"Orlando, US",RAN WG1,Channel modelling enhancements for 7-24GHz
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Beam management enhancements for AI/ML in NR
RAN1_119,"Orlando, US",RAN WG1,XR Enhancements
RAN1_118b,"Hefei, China",RAN1,NR enhancements
RAN1_116b,"Changsha, China",RAN WG1,Prioritization Rules for Transmission Power Reductions
RAN1_118,"Maastricht, NL",RAN WG1,AI/ML for NR Air Interface
RAN1_118b,"Hefei, China",RAN WG1,NR NTN Enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,RRC parameters for CG RACH-less Handover
RAN1_116b,"Athens, Greece",RAN2,R18 Positioning Enhancements
RAN1_118,"Maastricht, Netherlands",RAN WG1,Rel-18 Feature Enhancements
RAN1_119,"Orlando, US",RAN WG1,LP-WUS in Connected Mode
RAN1_118,"Maastricht, Netherlands",RAN WG1,NR positioning enhancements
RAN1_118,"Maastricht, NL",RAN WG1,AI/ML Model Management in Radio Access Networks
RAN1_116,"Athens, Greece",RAN WG1,Discussion on downlink and uplink channel and signal for Ambient IoT
RAN1_119,"Orlando, U.S.",RAN WG1,Enhancements of Network Energy Savings for NR
RAN1_119,"Orlando, US",RAN WG1,Rel-19 MIMO UE Features Discussion
RAN1_116,"Athens, Greece",TSG-RAN WG1,On-demand SIB study scope
RAN1_116,"Athens, Greece",RAN WG1,RedCap MBS TEI Configuration
RAN1_116b,"Changsha, China",RAN WG1,Rel-19 3-antenna-port codebook-based transmissions
RAN1_118b,"Hefei, China",RAN WG1,Ambient IoT Solutions
RAN1_118,"Fukuoka, Japan",RAN WG2,UL synchronization for contention-based Msg3 transmission
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,3GPP TSG RAN WG1 discussion on NR mobility enhancements
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Rel-18 MIMO Maintenance
RAN1_116,"Athens, Greece",RAN WG1,8.2: Maintenance of Rel-18 NR sidelink evolution
RAN1_116b,"Athens, Greece",SA2,Energy Efficiency and Energy Saving
RAN1_116,"Athens, Greece",RAN WG1,NR NTN Enhancements for Release 19
RAN1_117,"Fukuoka, Japan",RAN WG1,mTRP configurations and PH reporting mechanisms
RAN1_117,"Fukuoka, Japan",RAN WG1,NR_NTN_enh-Core (Rel-18)
RAN1_117,"Fukuoka, Japan",RAN WG1,9.4.2.2 - Frame structure and timing aspects for Ambient IoT
RAN1_118b,,RAN WG1,MAC-CE Impact on TCI States
RAN1_118,"Maastricht, Netherlands",RAN WG1,Specification support for beam management
RAN1_116,"Athens, Greece",RAN WG1,AI/ML for NR Physical Layer Enhancements
RAN1_119,"Orlando, US",RAN WG1,Enhancements to UE-initiated beam management
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Physical Layer Design for Ambient IoT
RAN1_118,"Maastricht, Netherlands",RAN WG1,NR NTN Solutions
RAN1_118b,"Hefei, China",RAN WG1,NR Physical Layer Specifications
RAN1_118,"Maastricht, NL",RAN WG1,Physical layer enhancements for NR
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Advanced receiver specifications for MU-MIMO
RAN1_119,"Orlando, US",RAN WG1,9.11.1 Downlink coverage enhancement for NR NTN
RAN1_118b,"Hefei, China",RAN WG1,RRC parameter alignment for NTN enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR and LTE Physical Layer Agenda
RAN1_116,"Athens, Greece",RAN WG1,Physical layer aspects of NR evolution
RAN1_119,"Orlando, US",RAN WG1,9.10.1: Enabling TX/RX for XR during RRM measurements
RAN1_118,"Maastricht, NL",RAN WG1,FS_AmbientIoT
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Antenna switching SRS configurations for 6Rx UE
RAN1_119,"Orlando, US",RAN WG1,Support of RedCap and eRedCap UEs with NR NTN operating in FR1-NTN bands
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical layer enhancements
RAN1_119,"Orlando, US",RAN WG1,Physical Layer Design for NR-based Ambient IoT
RAN1_116,"Athens, Greece",RAN WG1,Downlink coverage enhancement for NR NTN
RAN1_118b,"Hefei, China",RAN WG1,UL enhancements for IoT NTN
RAN1_116b,"Changsha, China",RAN WG1,NR_FeMIMO-Core Work Item Discussions
RAN1_118,"Maastricht, Netherlands",RAN WG1,IoT-NTN Enhancements
RAN1_116,"Athens, Greece",RAN WG1,9.11.2: NR NTN RedCap Support
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,XR Enhancements in Rel-19
RAN1_116b,"Changsha, China",RAN WG1,Rel-19 MIMO Evolution for DL/UL Asymmetric Scenarios
RAN1_116,"Athens, Greece",RAN WG1,NR NTN Mobility Enhancements
RAN1_118b,"Hefei, China",RAN WG1,NR-NTN downlink coverage enhancement
RAN1_116,"Athens, Greece",RAN WG1,UE Features for Rel-18 NR Enhancements
RAN1_118b,"Hefei, China",RAN WG1,Channel Model Validation for 7-24 GHz
RAN1_118b,"Hefei, China",RAN WG1,Measurement Gap Enhancements for XR
RAN1_118b,"Hefei, China",RAN WG1,3GPP TSG-RAN WG1 Meeting #118bis
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-18 Work Item Finalization
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Physical layer protocol specification development
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,9.4.2.2 - Frame structure and timing aspects for A-IoT
RAN1_118b,"Hefei, China",RAN WG1,Physical layer standardization for NR and LTE
RAN1_118,"Maastricht, Netherlands",RAN WG1,NR MIMO Evolution Discussion
RAN1_118b,"Hefei, China",RAN WG1,8.1: Physical layer procedures for control
RAN1_118b,"Hefei, China",RAN WG1,Rel-19 TEI Proposals
RAN1_116,"Athens, Greece",RAN WG1,Agenda Item 9.5.1: LP-WUS operation in IDLE/INACTIVE modes
RAN WG1 #119,"Orlando, US",RAN WG1,Study on ISAC channel modelling for NR
RAN1_119,"Orlando, US",RAN WG1,Pre-Rel-18 NR maintenance
RAN1_118b,"Hefei, China",RAN WG1,3GPP NR physical layer enhancements
RAN1_117,"Fukuoka, Japan",TSG-RAN WG1,NR Sidelink Positioning Enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical layer protocol aspects
RAN1_119,"Orlando, USA",RAN WG1,IoT-NTN TDD Mode Standardization
RAN1_117,"Fukuoka, Japan",RAN WG1,Ambient IoT Architecture Requirements
RAN1_119,"Orlando, Florida, USA",RAN WG1,AI/ML for NR Air Interface - CSI prediction
RAN1_118,"Maastricht, The Netherlands",TSG-RAN WG1,Physical downlink shared channel procedures
RAN1_117,"Fukuoka, Japan",RAN WG1,FR2-NTN specification inclusion
RAN1_117,"Fukuoka, Japan",RAN WG1,Ambient IoT Evaluation Methodology
RAN1_116,"Athens, Greece",RAN WG1,NCJT CSI-IM Restriction
RAN1_116,"Athens, Greece",RAN WG1,SBFD operation for UE in RRC_IDLE/INACTIVE mode
RAN1_116b,"Changsha, China",RAN WG1,AI/ML for Beam Management
RAN1_116,"Chicago, US",RAN WG4,NR Mobility Enhancements
RAN1_117,"Fukuoka, Japan",RAN WG1,Rel-18 MIMO DMRS Enhancements
RAN1_116,"Athens, Greece",RAN WG1,NR-NTN Phase 3 Enhancements
RAN1_119,"Orlando, USA",RAN WG1,Positioning accuracy enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical layer aspects of NR and Ambient IoT
RAN1_116,"Athens, Greece",RAN WG1,Physical layer procedures
RAN1_117,"Fukuoka City, Fukuoka, Japan",TSG-RAN WG1,NR Release 18 Enhancements
